customer_id,store_id,first_name,last_name,email,address_id,activebool,create_date,last_update
524,1,Jared,Ely,jared.ely@sakilacustomer.org,530,TRUE,14-02-2006,49:45.7
1,1,Mary,Smith,mary.smith@sakilacustomer.org,5,TRUE,14-02-2006,49:45.7
2,1,Patricia,Johnson,patricia.johnson@sakilacustomer.org,6,TRUE,14-02-2006,49:45.7
3,1,Linda,Williams,linda.williams@sakilacustomer.org,7,TRUE,14-02-2006,49:45.7
4,2,Barbara,Jones,barbara.jones@sakilacustomer.org,8,TRUE,14-02-2006,49:45.7
5,1,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,9,TRUE,14-02-2006,49:45.7
6,2,Jennifer,Davis,jennifer.davis@sakilacustomer.org,10,TRUE,14-02-2006,49:45.7
7,1,Maria,Miller,maria.miller@sakilacustomer.org,11,TRUE,14-02-2006,49:45.7
8,2,Susan,Wilson,susan.wilson@sakilacustomer.org,12,TRUE,14-02-2006,49:45.7
9,2,Margaret,Moore,margaret.moore@sakilacustomer.org,13,TRUE,14-02-2006,49:45.7
10,1,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,14,TRUE,14-02-2006,49:45.7
11,2,Lisa,Anderson,lisa.anderson@sakilacustomer.org,15,TRUE,14-02-2006,49:45.7
12,1,Nancy,Thomas,nancy.thomas@sakilacustomer.org,16,TRUE,14-02-2006,49:45.7
13,2,Karen,Jackson,karen.jackson@sakilacustomer.org,17,TRUE,14-02-2006,49:45.7
14,2,Betty,White,betty.white@sakilacustomer.org,18,TRUE,14-02-2006,49:45.7
15,1,Helen,Harris,helen.harris@sakilacustomer.org,19,TRUE,14-02-2006,49:45.7
16,2,Sandra,Martin,sandra.martin@sakilacustomer.org,20,TRUE,14-02-2006,49:45.7
17,1,Donna,Thompson,donna.thompson@sakilacustomer.org,21,TRUE,14-02-2006,49:45.7
18,2,Carol,Garcia,carol.garcia@sakilacustomer.org,22,TRUE,14-02-2006,49:45.7
19,1,Ruth,Martinez,ruth.martinez@sakilacustomer.org,23,TRUE,14-02-2006,49:45.7
20,2,Sharon,Robinson,sharon.robinson@sakilacustomer.org,24,TRUE,14-02-2006,49:45.7
21,1,Michelle,Clark,michelle.clark@sakilacustomer.org,25,TRUE,14-02-2006,49:45.7
22,1,Laura,Rodriguez,laura.rodriguez@sakilacustomer.org,26,TRUE,14-02-2006,49:45.7
23,2,Sarah,Lewis,sarah.lewis@sakilacustomer.org,27,TRUE,14-02-2006,49:45.7
24,2,Kimberly,Lee,kimberly.lee@sakilacustomer.org,28,TRUE,14-02-2006,49:45.7
25,1,Deborah,Walker,deborah.walker@sakilacustomer.org,29,TRUE,14-02-2006,49:45.7
26,2,Jessica,Hall,jessica.hall@sakilacustomer.org,30,TRUE,14-02-2006,49:45.7
27,2,Shirley,Allen,shirley.allen@sakilacustomer.org,31,TRUE,14-02-2006,49:45.7
28,1,Cynthia,Young,cynthia.young@sakilacustomer.org,32,TRUE,14-02-2006,49:45.7
29,2,Angela,Hernandez,angela.hernandez@sakilacustomer.org,33,TRUE,14-02-2006,49:45.7
